#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
511133000 ; 4.67983 ; 3.28148 ; 0 ; 0
511219000 ; 4.65913 ; 3.28163 ; 0 ; 0
511305000 ; 4.66278 ; 3.28323 ; 0 ; 0
511391000 ; 4.68348 ; 3.28194 ; 0 ; 0
511482000 ; 4.70052 ; 3.28133 ; 0 ; 0
511579000 ; 4.67374 ; 3.28156 ; 0 ; 0
511671000 ; 4.62748 ; 3.28171 ; 0 ; 0
511763000 ; 4.67496 ; 3.28178 ; 0 ; 0
511849000 ; 4.69444 ; 3.28186 ; 0 ; 0
511950000 ; 4.66887 ; 3.28163 ; 0 ; 0
512043000 ; 4.66644 ; 3.28171 ; 0 ; 0
512135000 ; 4.69565 ; 3.28148 ; 0 ; 0
512222000 ; 4.82105 ; 3.28186 ; 0 ; 0
512315000 ; 4.66765 ; 3.28186 ; 0 ; 0
512408000 ; 4.66157 ; 3.28194 ; 0 ; 0
512499000 ; 4.82227 ; 3.28201 ; 0 ; 0
512595000 ; 4.67617 ; 3.2814 ; 0 ; 0
512686000 ; 4.7614 ; 3.28194 ; 0 ; 0
512780000 ; 4.74313 ; 3.28186 ; 0 ; 0
512866000 ; 4.64452 ; 3.28392 ; 0 ; 0
512952000 ; 4.65913 ; 3.28178 ; 0 ; 0
513046000 ; 4.63965 ; 3.28194 ; 0 ; 0
513130000 ; 4.79183 ; 3.28217 ; 0 ; 0
513218000 ; 4.88193 ; 3.28217 ; 0 ; 0
513312000 ; 4.68104 ; 3.28186 ; 0 ; 0
513398000 ; 4.61895 ; 3.28133 ; 0 ; 0
513492000 ; 4.71513 ; 3.28156 ; 0 ; 0
513586000 ; 4.63356 ; 3.28156 ; 0 ; 0
513673000 ; 4.71635 ; 3.28148 ; 0 ; 0
513773000 ; 4.6433 ; 3.28194 ; 0 ; 0
513866000 ; 4.68591 ; 3.28148 ; 0 ; 0
513960000 ; 4.68104 ; 3.28194 ; 0 ; 0
514054000 ; 4.67496 ; 3.28407 ; 0 ; 0
514140000 ; 4.80157 ; 3.28201 ; 0 ; 0
514235000 ; 4.65426 ; 3.28178 ; 0 ; 0
514328000 ; 4.66644 ; 3.28194 ; 0 ; 0
514420000 ; 4.68835 ; 3.28194 ; 0 ; 0
514514000 ; 4.65548 ; 3.28308 ; 0 ; 0
514609000 ; 4.74922 ; 3.28178 ; 0 ; 0
514696000 ; 4.65183 ; 3.2814 ; 0 ; 0
514790000 ; 4.66278 ; 3.28148 ; 0 ; 0
514881000 ; 4.65913 ; 3.28453 ; 0 ; 0
514975000 ; 4.66035 ; 3.28133 ; 0 ; 0
515068000 ; 4.72244 ; 3.28209 ; 0 ; 0
515161000 ; 4.65426 ; 3.28178 ; 0 ; 0
515248000 ; 4.63965 ; 3.28156 ; 0 ; 0
515333000 ; 4.664 ; 3.28156 ; 0 ; 0
515425000 ; 4.61043 ; 3.28156 ; 0 ; 0
515519000 ; 4.88679 ; 3.28186 ; 0 ; 0
515606000 ; 4.92088 ; 3.284 ; 0 ; 0
515707000 ; 4.80523 ; 3.28163 ; 0 ; 0
515807000 ; 4.54104 ; 3.28163 ; 0 ; 0
515908000 ; 4.63722 ; 3.28156 ; 0 ; 0
516002000 ; 4.67739 ; 3.28209 ; 0 ; 0
516102000 ; 4.81131 ; 3.28217 ; 0 ; 0
516203000 ; 4.68713 ; 3.28171 ; 0 ; 0
516297000 ; 4.6847 ; 3.28232 ; 0 ; 0
516390000 ; 4.72366 ; 3.28186 ; 0 ; 0
516480000 ; 4.66278 ; 3.284 ; 0 ; 0
516571000 ; 4.81862 ; 3.28201 ; 0 ; 0
516665000 ; 4.62748 ; 3.28362 ; 0 ; 0
516750000 ; 4.85149 ; 3.28194 ; 0 ; 0
516837000 ; 4.7127 ; 3.28194 ; 0 ; 0
516921000 ; 4.76018 ; 3.28377 ; 0 ; 0
517007000 ; 4.692 ; 3.28194 ; 0 ; 0
517091000 ; 4.70418 ; 3.28186 ; 0 ; 0
517175000 ; 4.63113 ; 3.28163 ; 0 ; 0
517260000 ; 4.81009 ; 3.28186 ; 0 ; 0
517350000 ; 4.73705 ; 3.28217 ; 0 ; 0
517436000 ; 4.73705 ; 3.28171 ; 0 ; 0
517528000 ; 4.76505 ; 3.28171 ; 0 ; 0
517627000 ; 4.70539 ; 3.28163 ; 0 ; 0
517718000 ; 4.66157 ; 3.28178 ; 0 ; 0
517809000 ; 4.69687 ; 3.28201 ; 0 ; 0
517899000 ; 4.6847 ; 3.28156 ; 0 ; 0
517990000 ; 4.65548 ; 3.28148 ; 0 ; 0
