#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
668965000 ; 0.357856 ; 3.28056 ; 0 ; 0
669060000 ; 0.378553 ; 3.28094 ; 0 ; 0
669152000 ; 0.388292 ; 3.28087 ; 0 ; 0
669247000 ; 0.366378 ; 3.28346 ; 0 ; 0
669333000 ; 0.357856 ; 3.28438 ; 0 ; 0
669418000 ; 0.356638 ; 3.28087 ; 0 ; 0
669512000 ; 0.359073 ; 3.28117 ; 0 ; 0
669607000 ; 0.356638 ; 3.28072 ; 0 ; 0
669694000 ; 0.3749 ; 3.28087 ; 0 ; 0
669787000 ; 0.372465 ; 3.28064 ; 0 ; 0
669881000 ; 5.02315 ; 3.28323 ; 0 ; 0
669967000 ; 4.93915 ; 3.28163 ; 0 ; 0
670054000 ; 4.95254 ; 3.28171 ; 0 ; 0
670147000 ; 4.84905 ; 3.28186 ; 0 ; 0
670234000 ; 0.376118 ; 3.28255 ; 0 ; 0
670328000 ; 0.376118 ; 3.28056 ; 0 ; 0
670420000 ; 0.367595 ; 3.28064 ; 0 ; 0
670506000 ; 0.371248 ; 3.28239 ; 0 ; 0
670601000 ; 0.371248 ; 3.28064 ; 0 ; 0
670694000 ; 5.10594 ; 3.28041 ; 0 ; 0
670781000 ; 4.89897 ; 3.28163 ; 0 ; 0
670869000 ; 0.440643 ; 3.28079 ; 0 ; 0
670960000 ; 0.458905 ; 3.28102 ; 0 ; 0
671054000 ; 0.452817 ; 3.28247 ; 0 ; 0
671148000 ; 0.438208 ; 3.28064 ; 0 ; 0
671240000 ; 4.84418 ; 3.28148 ; 0 ; 0
671337000 ; 4.95741 ; 3.28201 ; 0 ; 0
671422000 ; 4.87949 ; 3.28445 ; 0 ; 0
671509000 ; 4.93549 ; 3.28384 ; 0 ; 0
671603000 ; 0.372465 ; 3.28087 ; 0 ; 0
671697000 ; 5.12907 ; 3.28148 ; 0 ; 0
671791000 ; 5.10594 ; 3.2814 ; 0 ; 0
671891000 ; 5.00854 ; 3.28209 ; 0 ; 0
671978000 ; 4.92454 ; 3.28171 ; 0 ; 0
672063000 ; 4.98297 ; 3.28148 ; 0 ; 0
672150000 ; 4.97202 ; 3.28423 ; 0 ; 0
672247000 ; 4.9708 ; 3.28133 ; 0 ; 0
672340000 ; 4.7967 ; 3.28148 ; 0 ; 0
672425000 ; 4.98784 ; 3.28171 ; 0 ; 0
672513000 ; 4.98297 ; 3.28331 ; 0 ; 0
672608000 ; 4.78575 ; 3.28148 ; 0 ; 0
672694000 ; 4.86123 ; 3.28163 ; 0 ; 0
672789000 ; 4.77844 ; 3.28201 ; 0 ; 0
672874000 ; 4.75044 ; 3.28217 ; 0 ; 0
672960000 ; 0.405337 ; 3.28369 ; 0 ; 0
673047000 ; 0.407772 ; 3.28102 ; 0 ; 0
673133000 ; 0.396814 ; 3.28377 ; 0 ; 0
673234000 ; 0.406554 ; 3.28224 ; 0 ; 0
673333000 ; 0.393162 ; 3.28087 ; 0 ; 0
673424000 ; 0.422381 ; 3.28064 ; 0 ; 0
673519000 ; 5.08402 ; 3.28217 ; 0 ; 0
673613000 ; 4.97567 ; 3.28156 ; 0 ; 0
673698000 ; 4.83566 ; 3.28186 ; 0 ; 0
673791000 ; 4.86245 ; 3.28186 ; 0 ; 0
673886000 ; 4.82105 ; 3.28178 ; 0 ; 0
673980000 ; 4.90871 ; 3.28209 ; 0 ; 0
674066000 ; 4.86123 ; 3.28194 ; 0 ; 0
674153000 ; 4.81009 ; 3.28163 ; 0 ; 0
674248000 ; 5.00611 ; 3.28186 ; 0 ; 0
674334000 ; 0.380988 ; 3.28056 ; 0 ; 0
674418000 ; 0.406554 ; 3.28217 ; 0 ; 0
674513000 ; 4.96836 ; 3.28156 ; 0 ; 0
674613000 ; 4.89653 ; 3.28339 ; 0 ; 0
674705000 ; 0.367595 ; 3.28064 ; 0 ; 0
674798000 ; 0.367595 ; 3.28072 ; 0 ; 0
674892000 ; 0.380988 ; 3.28041 ; 0 ; 0
674985000 ; 0.380988 ; 3.28072 ; 0 ; 0
675070000 ; 0.373683 ; 3.28056 ; 0 ; 0
675164000 ; 4.98297 ; 3.28156 ; 0 ; 0
675256000 ; 4.92575 ; 3.28133 ; 0 ; 0
675348000 ; 4.84297 ; 3.2814 ; 0 ; 0
675448000 ; 4.84418 ; 3.28186 ; 0 ; 0
675541000 ; 0.378553 ; 3.28079 ; 0 ; 0
675627000 ; 0.366378 ; 3.28209 ; 0 ; 0
675720000 ; 0.343246 ; 3.28064 ; 0 ; 0
675820000 ; 0.363943 ; 3.28102 ; 0 ; 0
675907000 ; 0.366378 ; 3.28079 ; 0 ; 0
676007000 ; 0.361508 ; 3.28056 ; 0 ; 0
676101000 ; 0.366378 ; 3.28041 ; 0 ; 0
676202000 ; 0.359073 ; 3.28079 ; 0 ; 0
676287000 ; 0.352986 ; 3.28018 ; 0 ; 0
676387000 ; 0.3749 ; 3.28049 ; 0 ; 0
676480000 ; 0.371248 ; 3.28064 ; 0 ; 0
676573000 ; 0.363943 ; 3.28026 ; 0 ; 0
